drug_name,food_name
Ginkgo biloba,anticoagulant herbs
Ginkgo biloba,garlic
Ginkgo biloba,ginger
Ginkgo biloba,ginkgo biloba
Glasdegib,st. john's wort
Glecaprevir,st. john's wort
Gliclazide,alcohol
Glimepiride,alcohol
Glipizide,alcohol
Glutethimide,alcohol
Glyburide,alcohol
Grepafloxacin,caffeine
Griseofulvin,alcohol
Guanfacine,alcohol
Guanfacine,high-fat foods
Haloperidol,alcohol
Heparin,anticoagulant herbs
Heparin,calcium supplements
Heparin,calcium-rich foods
Heparin,garlic
Heparin,ginger
Heparin,ginkgo biloba
Hydrochlorothiazide,alcohol
Hydrochlorothiazide,calcium supplements
Hydrochlorothiazide,calcium-rich foods
Hydrochlorothiazide,high-salt foods
Hydrochlorothiazide,iron
Hydrochlorothiazide,iron supplements
Hydrochlorothiazide,natural licorice
Hydrochlorothiazide,orange juice
Hydrochlorothiazide,potassium-rich foods
Hydrocodone,alcohol
Hydrocortisone,alcohol
Hydroflumethiazide,potassium-rich foods
Hydromorphone,alcohol
Hydroxyzine,alcohol
Hydroxyzine,grapefruit
Ibritumomab tiuxetan,anticoagulant herbs
Ibritumomab tiuxetan,garlic
Ibritumomab tiuxetan,ginger
Ibritumomab tiuxetan,ginkgo biloba
Ibrutinib,grapefruit
Ibrutinib,st. john's wort
Ibuprofen,alcohol
Idelalisib,grapefruit
Idelalisib,st. john's wort
Idraparinux,anticoagulant herbs
Idraparinux,garlic
Idraparinux,ginger
Idraparinux,ginkgo biloba
Ifosfamide,alcohol
Ifosfamide,grapefruit
Ifosfamide,st. john's wort
Iloperidone,alcohol
Iloprost,anticoagulant herbs
Iloprost,garlic
Iloprost,ginger
Iloprost,ginkgo biloba
Imatinib,grapefruit
Imatinib,st. john's wort
Imipramine,alcohol
Imipramine,caffeine
Imipramine,high-fiber foods
Imipramine,st. john's wort
Indapamide,alcohol
Indapamide,potassium-rich foods
Indinavir,alcohol
Indinavir,grapefruit
Indomethacin,alcohol
Inotersen,vitamin A
Inotersen,vitamin A supplements
Insulin degludec,alcohol
Insulin detemir,alcohol
Insulin glulisine,alcohol
Insulin human,alcohol
Insulin pork,alcohol
Interferon alfa-2a,alcohol
Interferon alfa-2b,alcohol
Interferon alfa-n1,alcohol
Interferon beta-1a,alcohol
Interferon beta-1b,alcohol
Interferon gamma-1b,alcohol
Iodide I-123,iodine
Iodide I-131,iodine
Iodine,broccoli
Iodine,goitrogenic foods
Iodine,soy/soybean
Isavuconazole,grapefruit
Isavuconazole,st. john's wort
Isavuconazonium,grapefruit
Isavuconazonium,st. john's wort
Isocarboxazid,aged cheese
Isocarboxazid,alcohol
Isocarboxazid,caffeine
Isocarboxazid,cheese
Isocarboxazid,tyramine-containing foods
Isocarboxazid,yogurt
Isoniazid,alcohol
Isoniazid,caffeine
Isoniazid,cheese
Isoniazid,chocolate
Isoniazid,fava beans
Isoniazid,histamine-containing foods
Isoniazid,pickled foods
Isoniazid,tyramine-containing foods
Isoniazid,vitamin B6 (pyridoxine)
Isotretinoin,alcohol
Isotretinoin,vitamin A
Isotretinoin,vitamin A supplements
Istradefylline,st. john's wort
Itraconazole,grapefruit
Ivabradine,grapefruit
Ivosidenib,grapefruit
Ivosidenib,high-fat foods
Ivosidenib,st. john's wort
Ixabepilone,grapefruit
Ixabepilone,st. john's wort
Ixazomib,st. john's wort
Ketamine,alcohol
Ketazolam,alcohol
Ketazolam,caffeine
Ketazolam,grapefruit
Ketoconazole,alcohol
Ketoprofen,alcohol
Lapatinib,grapefruit
Larotrectinib,grapefruit
Larotrectinib,st. john's wort
Lasmiditan,alcohol
Ledipasvir,st. john's wort
Lefamulin,grapefruit
Lefamulin,st. john's wort
Lenvatinib,ephedra
Lenvatinib,natural licorice
Lepirudin,anticoagulant herbs
Lepirudin,chamomile
Lepirudin,garlic
Lepirudin,ginger
Lepirudin,ginkgo biloba
Lepirudin,ginseng
Lercanidipine,alcohol
Lercanidipine,grapefruit
Lercanidipine,st. john's wort
Letaxaban,anticoagulant herbs
Letaxaban,garlic
Letaxaban,ginger
Letaxaban,ginkgo biloba
Letermovir,st. john's wort
Levocetirizine,alcohol
Levodopa,iron
Levoketoconazole,alcohol
Levomilnacipran,alcohol
Levomilnacipran,anticoagulant herbs
Levomilnacipran,grapefruit
Levomilnacipran,st. john's wort
Levorphanol,alcohol
Levothyroxine,calcium supplements
Levothyroxine,calcium-rich foods
Levothyroxine,grapefruit
Levothyroxine,high-fiber foods
Levothyroxine,iron
Levothyroxine,iron supplements
Levothyroxine,magnesium
Levothyroxine,soy/soybean
Linagliptin,alcohol
Lindane,alcohol
Linezolid,cheese
Linezolid,fava beans
Linezolid,pickled foods
Linezolid,tyramine-containing foods
Liotrix,calcium supplements
Liotrix,calcium-rich foods
Liotrix,grapefruit
Liotrix,high-fiber foods
Liotrix,iron
Liotrix,iron supplements
Lisdexamfetamine,vitamin C
Lisinopril,ephedra
Lisinopril,high-salt foods
Lisinopril,natural licorice
Lisinopril,potassium-rich foods
Lithium carbonate,alcohol
Lithium carbonate,caffeine
Lithium carbonate,iodine
Lithium carbonate,iodine-containing foods
Lithium citrate,alcohol
Lithium citrate,caffeine
Lithium citrate,iodine
Lithium citrate,iodine-containing foods
Lofexidine,alcohol
Lomefloxacin,magnesium
Lomitapide,grapefruit
Lonafarnib,grapefruit
Lonafarnib,seville orange
Lopinavir,st. john's wort
Lorazepam,alcohol
Lorazepam,caffeine
Lorlatinib,grapefruit
Lorlatinib,st. john's wort
Lovastatin,grapefruit
Loxapine,alcohol
Loxoprofen,grapefruit
Loxoprofen,st. john's wort
Lumateperone,grapefruit
Lumateperone,st. john's wort
Lumefantrine,grapefruit
Lurasidone,alcohol
Lurasidone,grapefruit
Macimorelin,st. john's wort
Magaldrate,alcohol
Maprotiline,caffeine
Maraviroc,st. john's wort
Maribavir,st. john's wort
Mecamylamine,alcohol
Meclizine,alcohol
Meclofenamic acid,alcohol
Medroxyprogesterone acetate,st. john's wort
Mefenamic acid,alcohol
Mefloquine,alcohol
Melagatran,anticoagulant herbs
Melagatran,garlic
Melagatran,ginger
Melagatran,ginkgo biloba
Melatonin,alcohol
Melatonin,melatonin
Meloxicam,alcohol
Meperidine,alcohol
Meprobamate,alcohol
Mepyramine,alcohol
Metaxalone,alcohol
Metformin,alcohol
Methadone,alcohol
Methocarbamol,alcohol
Methohexital,alcohol
Methotrexate,alcohol
Methotrexate,caffeine
Methotrexate,dairy
Methotrexate,milk
Methotrexate,st. john's wort
Methoxyflurane,alcohol
Methsuximide,alcohol
Methylergometrine,grapefruit
Methylphenidate,alcohol
Methylprednisolone,alcohol
Metoclopramide,alcohol
Metoprolol,alcohol
Metoprolol,natural licorice
Metronidazole,alcohol
Metyrosine,alcohol
Mevastatin,alcohol
Mevastatin,grapefruit
Midazolam,alcohol
Midazolam,grapefruit
Midostaurin,grapefruit
Midostaurin,st. john's wort
Mifepristone,grapefruit
Migalastat,caffeine
Milnacipran,alcohol
Minocycline,calcium-rich foods
Minocycline,iron
Minocycline,magnesium
Mipomersen,alcohol
Mirtazapine,alcohol
Mobocertinib,st. john's wort
Moclobemide,aged cheese
Moclobemide,alcohol
Moclobemide,cheese
Moclobemide,tyramine-containing foods
Moclobemide,yogurt
Moexipril,ephedra
Moexipril,high-salt foods
Moexipril,natural licorice
Moexipril,potassium-rich foods
Molindone,alcohol
Monopotassium phosphate,calcium-rich foods
Monopotassium phosphate,magnesium
Monteplase,anticoagulant herbs
Monteplase,garlic
Monteplase,ginger
Monteplase,ginkgo biloba
Morphine,alcohol
Mycophenolate mofetil,calcium-rich foods
Mycophenolate mofetil,iron
Mycophenolate mofetil,magnesium
Nabilone,alcohol
Nabumetone,alcohol
