drug_id,drug_name,category,dual_role,notes
androgen,,pharmaceutical,,Enantiomer/variant of: 
androgens,,pharmaceutical,,Enantiomer/variant of: 
androstenedione,,pharmaceutical,,Enantiomer/variant of: 
angiotensin I,,pharmaceutical,,Enantiomer/variant of: 
angiotensin II,,pharmaceutical,,Enantiomer/variant of: 
anti-malarial,,pharmaceutical,,Enantiomer/variant of: 
antibiotic,,pharmaceutical,,Enantiomer/variant of: 
anticholinestrase,,pharmaceutical,,Enantiomer/variant of: 
anticoagulants,,pharmaceutical,,Enantiomer/variant of: 
antidepressants,,pharmaceutical,,Enantiomer/variant of: 
antiplatelet,,pharmaceutical,,Enantiomer/variant of: 
arachidonic acid,,pharmaceutical,,Enantiomer/variant of: 
arbekacin,,pharmaceutical,,Enantiomer/variant of: 
arginine,,pharmaceutical,,Enantiomer/variant of: 
arsenic,,pharmaceutical,,Enantiomer/variant of: 
arsenic ion,,pharmaceutical,,Enantiomer/variant of: 
arsenicated,,pharmaceutical,,Enantiomer/variant of: 
arsenite,,pharmaceutical,,Enantiomer/variant of: 
artemisinin,,pharmaceutical,,Enantiomer/variant of: 
aspartate aminotransferase,,pharmaceutical,,Enantiomer/variant of: 
aspirin,,pharmaceutical,,Enantiomer/variant of: 
atenolol,,pharmaceutical,,Enantiomer/variant of: 
atorvastatin,,pharmaceutical,,Enantiomer/variant of: 
atropine,,pharmaceutical,,Enantiomer/variant of: 
bacampicillin,,pharmaceutical,,Enantiomer/variant of: 
bacitracin,,pharmaceutical,,Enantiomer/variant of: 
benzodiazepines,,pharmaceutical,,Enantiomer/variant of: 
betaine,,pharmaceutical,,Enantiomer/variant of: 
bicuculline,,pharmaceutical,,Enantiomer/variant of: 
bleomycin,,pharmaceutical,,Enantiomer/variant of: 
botulinum neurotoxins,,pharmaceutical,,Enantiomer/variant of: 
bovine serum albumin,,pharmaceutical,,Enantiomer/variant of: 
bradykinin,,pharmaceutical,,Enantiomer/variant of: 
bupropion,,pharmaceutical,,Enantiomer/variant of: 
buterylcholinesterase,,pharmaceutical,,Enantiomer/variant of: 
butyrate,,pharmaceutical,,Enantiomer/variant of: 
butyrylcholinesterase,,pharmaceutical,,Enantiomer/variant of: 
cadmium,,pharmaceutical,,Enantiomer/variant of: 
caffeine,,pharmaceutical,,Enantiomer/variant of: 
calcitriol,,pharmaceutical,,Enantiomer/variant of: 
calcium,,pharmaceutical,,Enantiomer/variant of: 
calcium channel blockers,,pharmaceutical,,Enantiomer/variant of: 
calcium hydrogen-phosphate,,pharmaceutical,,Enantiomer/variant of: 
calcium ionophore,,pharmaceutical,,Enantiomer/variant of: 
cannabinoid,,pharmaceutical,,Enantiomer/variant of: 
capecitabine,,pharmaceutical,,Enantiomer/variant of: 
captopril,,pharmaceutical,,Enantiomer/variant of: 
carbachol,,pharmaceutical,,Enantiomer/variant of: 
carbamazepine,,pharmaceutical,,Enantiomer/variant of: 
carbapenems,,pharmaceutical,,Enantiomer/variant of: 
carbon tetrachloride,,pharmaceutical,,Enantiomer/variant of: 
carboplatin,,pharmaceutical,,Enantiomer/variant of: 
castor oil,,pharmaceutical,,Enantiomer/variant of: 
catalase,,pharmaceutical,,Enantiomer/variant of: 
catechins,,pharmaceutical,,Enantiomer/variant of: 
catecholamine,,pharmaceutical,,Enantiomer/variant of: 
cefmetazole,,pharmaceutical,,Enantiomer/variant of: 
cefoperazone,,pharmaceutical,,Enantiomer/variant of: 
cefoxitin,,pharmaceutical,,Enantiomer/variant of: 
cefuroxime,,pharmaceutical,,Enantiomer/variant of: 
celiprolol,,pharmaceutical,,Enantiomer/variant of: 
ceruleine,,pharmaceutical,,Enantiomer/variant of: 
chelators,,pharmaceutical,,Enantiomer/variant of: 
chloramphenicol,,pharmaceutical,,Enantiomer/variant of: 
chloroquine,,pharmaceutical,,Enantiomer/variant of: 
chloroquine sulphate,,pharmaceutical,,Enantiomer/variant of: 
chlorzoxazone,,pharmaceutical,,Enantiomer/variant of: 
choline,,pharmaceutical,,Enantiomer/variant of: 
cholinesterase,,pharmaceutical,,Enantiomer/variant of: 
chymotrypsin,,pharmaceutical,,Enantiomer/variant of: 
cilostazol,,pharmaceutical,,Enantiomer/variant of: 
cimetidine,,pharmaceutical,,Enantiomer/variant of: 
ciprofloxacin,,pharmaceutical,,Enantiomer/variant of: 
cisplatin,,pharmaceutical,,Enantiomer/variant of: 
clarithromycin,,pharmaceutical,,Enantiomer/variant of: 
claudin-4,,pharmaceutical,,Enantiomer/variant of: 
clomipramine,,pharmaceutical,,Enantiomer/variant of: 
clonidine,,pharmaceutical,,Enantiomer/variant of: 
clopidogrel,,pharmaceutical,,Enantiomer/variant of: 
collagenase,,pharmaceutical,,Enantiomer/variant of: 
conjugated dienes,,pharmaceutical,,Enantiomer/variant of: 
copper,,pharmaceutical,,Enantiomer/variant of: 
corticosteroid,,pharmaceutical,,Enantiomer/variant of: 
corticosteroids,,pharmaceutical,,Enantiomer/variant of: 
corticosterone,,pharmaceutical,,Enantiomer/variant of: 
cortisol,,pharmaceutical,,Enantiomer/variant of: 
cortisone,,pharmaceutical,,Enantiomer/variant of: 
