food_name,food_id,drug_name,drug_id,verdict
Beta-Carotene,718,zinc sulfate,1414,DrugBank-text
Beta-Carotene,718,acarbose,10,DrugBank-text
Beta-Carotene,718,lisinopril,732,DrugBank-text
Beta-Carotene,718,enalapril,435,DrugBank-text
Beta-Carotene,718,ramipril,1092,DrugBank-text
Beta-Carotene,718,captopril,198,DrugBank-text
Beta-Carotene,718,perindopril,988,DrugBank-text
Beta-Carotene,718,buspirone,174,DrugBank-text
Beta-Carotene,718,spironolactone,1201,DrugBank-text
Beta-Carotene,718,allopurinol,36,DrugBank-text
Beta-Carotene,718,colchicine,289,DrugBank-text
Beta-Carotene,718,cyclosporine,306,DrugBank-text
Beta-Carotene,718,simvastatin,1174,DrugBank-text
Beta-Carotene,718,midazolam,825,DrugBank-text
Beta-Carotene,718,tacrolimus,1224,DrugBank-text
Beta-Carotene,718,statins,1772,DrugBank-text
Beta-Carotene,718,warfarin,1396,DrugBank-text
Beta-Carotene,718,phenytoin,1004,DrugBank-text
Beta-Carotene,718,glipizide,588,DrugBank-text
Beta-Carotene,718,flurbiprofen,546,DrugBank-text
Beta-Carotene,718,isotretinoin,666,LIT-confirmed
Beta-Carotene,718,retinol,1697,LIT-confirmed
Calcium,2,t,1824,LIT-confirmed
Calcium,2,al,1455,LIT-confirmed
Calcium,2,phenelzine,994,DrugBank-text
Calcium,2,tranylcypromine,1316,DrugBank-text
Calcium,2,isocarboxazid,662,DrugBank-text
Calcium,2,selegiline,1158,DrugBank-text
Calcium,2,lisinopril,732,DrugBank-text
Calcium,2,amlodipine,59,DrugBank-text
Calcium,2,hydrochlorothiazide,604,DrugBank-text
Calcium,2,metoprolol,818,DrugBank-text
Calcium,2,losartan,745,DrugBank-text
Calcium,2,isotretinoin,666,DrugBank-text
Beta-Glucan,10,metformin,794,LIT-confirmed
Beta-Glucan,10,levothyroxine,722,LIT-confirmed
Beta-Glucan,10,warfarin,1396,LIT-confirmed
Beta-Glucan,10,phenelzine,994,LIT-confirmed
Beta-Glucan,10,tranylcypromine,1316,LIT-confirmed
