brand_name,inn_raw,inn_normalized,pipeline_drug,match_type
BETASERC,BETAHISTINE,betahistine,Betahistine,exact
VERTIGO,BETAHISTINE (SOUS FORME DE DICHLORHYDRATE,betahistine (sous forme de dichlorhydrate,Betahistine,prefix
VERSEC,BETAHISTINE (SOUS FORME DE DICHLORHYDRATE,betahistine (sous forme de dichlorhydrate,Betahistine,prefix
MEVERC,BETAHISTINE (SOUS FORME DE DICHLORHYDRATE)**,betahistine (sous forme de dichlorhydrate)**,Betahistine,prefix
LECTIL,BETAHISTINE (SOUS FORME DE DICHLORHYDRATE)**,betahistine (sous forme de dichlorhydrate)**,Betahistine,prefix
SERC,BETAHISTINE DICHLORHDRATE,betahistine dichlorhdrate,Betahistine,prefix
BETAHIST,BETAHISTINE DICHLORHYDRATE,betahistine dichlorhydrate,Betahistine,prefix
ANATAX,BETAHISTINE DICHLORHYDRATE,betahistine dichlorhydrate,Betahistine,prefix
BETADERME,BETAMETHASONE,betamethasone,Betamethasone,exact
BETABIO,BETAMETHASONE,betamethasone,Betamethasone,exact
CELETASONE,BETAMETHASONE,betamethasone,Betamethasone,exact
BETASTENE,BETAMETHASONE,betamethasone,Betamethasone,exact
B-CORTOSONE,BETAMETHASONE,betamethasone,Betamethasone,exact
BETSOL,BETAMETHASONE,betamethasone,Betamethasone,exact
BETACROVIS,BETAMETHASONE,betamethasone,Betamethasone,exact
LESTONE,BETAMETHASONE,betamethasone,Betamethasone,exact
BETAMETHASONE PHYSIOPHARM,BETAMETHASONE,betamethasone,Betamethasone,exact
CELESTENE,BETAMETHASONE,betamethasone,Betamethasone,exact
CELESTENE CHRONODOSE,BETAMETHASONE (ACETATE) / BETAMETHASONE  (PHOSPHATE DISODIQUE),betamethasone (acetate) / betamethasone  (phosphate),Betamethasone,prefix
HELESTENE CHRONODOSE,BETAMETHASONE ACETATE EXPRIME EN BETAMETHASONE / BETAMETHASONE PHOSPHATE DISODIQUE EXPRIME EN BETAMETHASONE,betamethasone / betamethasone exprime en betamethasone,Betamethasone,prefix
BETAMETHASONE NOVAGENERICS,BETAMETHASONE DIPROPIONATE,betamethasone dipropionate,Betamethasone,prefix
DIPROSONE,BETAMETHASONE DIPROPIONATE EXPRIME EN  BETAMETHASONE,betamethasone,Betamethasone,exact
DIPROSTENE,BETAMETHASONE DIPROPIONATE EXPRIME EN BETAMETASONE / BETAMETHASONE PHOSPHATE EXPRIME EN BETAMETHASONE,betametasone / betamethasone exprime en betamethasone,Betamethasone,prefix
HUPPROSTENE,BETAMETHASONE DIPROPIONATE EXPRIME EN BETAMETASONE / BETAMETHASONE PHOSPHATE EXPRIME EN BETAMETHASONE,betametasone / betamethasone exprime en betamethasone,Betamethasone,prefix
BETASONE,BETAMETHASONE DIPROPIONATE EXPRIME EN BETAMETHASONE,betamethasone,Betamethasone,exact
BETAMETHASONE NOVAGENERICS,BETAMETHASONE DIPROPIONATE EXPRIME EN BETAMETHASONE,betamethasone,Betamethasone,exact
CELETASONE,BETAMETHASONE DIPROPIONATE EXPRIME EN BETAMETHASONE,betamethasone,Betamethasone,exact
BETACYL,BETAMETHASONE DIPROPIONATE EXPRIME EN BETAMETHASONE / ACIDE SALICYLIQUE,betamethasone / acide salicylique,Betamethasone,prefix
BETAMETHASONE-ACIDE SALICYLIQUE NOVAGENERICS,BETAMETHASONE DIPROPIONATE EXPRIME EN BETAMETHASONE / ACIDE SALICYLIQUE,betamethasone / acide salicylique,Betamethasone,prefix
BETAMETHASONE NOVAGENERICS,BETAMETHASONE DIPROPIONATE EXPRIME EN BETHAMETHASONE,bethamethasone,,none
