drug_id,drug_name,category,notes
524,Flavin Mononucleotide,pharmaceutical,
525,Flavoxate,pharmaceutical,
526,Flecainide,pharmaceutical,
527,Fleroxacin,pharmaceutical,
528,Flibanserin,pharmaceutical,
529,Floctafenine,pharmaceutical,
530,Flucloxacillin,pharmaceutical,
531,Fluconazole,pharmaceutical,
532,Fludarabine,pharmaceutical,
533,Fludeoxyglucose (18F),radiopharmaceutical,Unlikely to have food interactions - radiopharmaceutical/imaging agent
534,Fludiazepam,pharmaceutical,
535,Fludrocortisone,pharmaceutical,
536,Fluindione,pharmaceutical,
537,Flumazenil,pharmaceutical,
538,Flunarizine,pharmaceutical,
539,Flunitrazepam,pharmaceutical,
540,Fluorodopa (18F),radiopharmaceutical,Unlikely to have food interactions - radiopharmaceutical/imaging agent
541,Fluoxetine,pharmaceutical,
542,Fluoxymesterone,pharmaceutical,
543,Flupentixol,pharmaceutical,
544,Fluphenazine,pharmaceutical,
545,Flurazepam,pharmaceutical,
546,Flurbiprofen,pharmaceutical,
547,Fluspirilene,pharmaceutical,
548,Flutamide,pharmaceutical,
549,Fluvastatin,pharmaceutical,
550,Fluvoxamine,pharmaceutical,
551,Fomepizole,pharmaceutical,
552,Fondaparinux,pharmaceutical,
553,Fosamprenavir,pharmaceutical,
554,Fosaprepitant,pharmaceutical,
555,Fosfomycin,pharmaceutical,
556,Fosinopril,pharmaceutical,
557,Fosnetupitant,pharmaceutical,
558,Fosphenytoin,pharmaceutical,
559,Fostamatinib,pharmaceutical,
560,Fostemsavir,pharmaceutical,
561,Frovatriptan,pharmaceutical,
562,Fruquintinib,pharmaceutical,
563,Furosemide,pharmaceutical,
564,Fusidic Acid,pharmaceutical,
565,Futibatinib,pharmaceutical,
566,Gw-813893,pharmaceutical,
567,Gabapentin,pharmaceutical,
568,Gabapentin Enacarbil,pharmaceutical,
569,Gabexate,pharmaceutical,
570,Galantamine,pharmaceutical,
571,Galcanezumab,biological,
572,Ganaxolone,pharmaceutical,
573,Ganciclovir,pharmaceutical,
574,Gatifloxacin,pharmaceutical,
575,Gefapixant,pharmaceutical,
576,Gefitinib,pharmaceutical,
577,Gemfibrozil,pharmaceutical,
578,Gemifloxacin,pharmaceutical,
579,Gepirone,pharmaceutical,
580,Gilteritinib,pharmaceutical,
581,Gimeracil,pharmaceutical,
582,Ginkgo Biloba,pharmaceutical,
583,Givinostat,pharmaceutical,
584,Glasdegib,pharmaceutical,
585,Glecaprevir,pharmaceutical,
586,Gliclazide,pharmaceutical,
587,Glimepiride,pharmaceutical,
588,Glipizide,pharmaceutical,
589,Glutethimide,pharmaceutical,
590,Glyburide,pharmaceutical,
591,Glycerol Phenylbutyrate,pharmaceutical,
592,Glycopyrronium,pharmaceutical,
593,Granisetron,pharmaceutical,
594,Grazoprevir,pharmaceutical,
595,Grepafloxacin,pharmaceutical,
596,Griseofulvin,pharmaceutical,
597,Guaifenesin,pharmaceutical,
598,Guanethidine,pharmaceutical,
599,Guanfacine,pharmaceutical,
600,Halofantrine,pharmaceutical,
601,Haloperidol,pharmaceutical,
602,Heparin,pharmaceutical,
603,Hydralazine,pharmaceutical,
604,Hydrochlorothiazide,pharmaceutical,
605,Hydrocodone,pharmaceutical,
606,Hydrocortisone,pharmaceutical,
607,Hydroflumethiazide,pharmaceutical,
608,Hydrogen Fluoride,pharmaceutical,
609,Hydromorphone,pharmaceutical,
610,Hydroxychloroquine,pharmaceutical,
611,Hydroxyurea,pharmaceutical,
612,Hydroxyzine,pharmaceutical,
613,Hyoscyamine,pharmaceutical,
614,Ibandronate,pharmaceutical,
615,Ibrexafungerp,pharmaceutical,
616,Ibritumomab Tiuxetan,pharmaceutical,
617,Ibrutinib,pharmaceutical,
618,Ibuprofen,pharmaceutical,
619,Icosapent Ethyl,pharmaceutical,
620,Idebenone,pharmaceutical,
621,Idelalisib,pharmaceutical,
622,Idraparinux,pharmaceutical,
623,Ifosfamide,pharmaceutical,
624,Iloperidone,pharmaceutical,
625,Iloprost,pharmaceutical,
626,Imatinib,pharmaceutical,
627,Imipramine,pharmaceutical,
628,Imiquimod,pharmaceutical,
629,Inavolisib,pharmaceutical,
630,Indapamide,pharmaceutical,
631,Indinavir,pharmaceutical,
632,Indium In-111 Chloride,radiopharmaceutical,Unlikely to have food interactions - radiopharmaceutical/imaging agent
633,Indium In-111 Pentetreotide,radiopharmaceutical,Unlikely to have food interactions - radiopharmaceutical/imaging agent
634,Indomethacin,pharmaceutical,
635,Infigratinib,pharmaceutical,
636,Ingenol Mebutate,pharmaceutical,
637,Inotersen,pharmaceutical,
638,Insulin Aspart,biological (insulin),
639,Insulin Degludec,biological (insulin),
640,Insulin Detemir,biological (insulin),
641,Insulin Glulisine,biological (insulin),
642,Insulin Human,biological (insulin),
643,Insulin Icodec,biological (insulin),
644,Insulin Pork,biological (insulin),
645,Interferon Alfa-2A,biological,
646,Interferon Alfa-2B,biological,
647,Interferon Alfa-N1,biological,
648,Interferon Beta-1A,biological,
649,Interferon Beta-1B,biological,
650,Interferon Gamma-1B,biological,
651,Iodide I-123,radiopharmaceutical,Unlikely to have food interactions - radiopharmaceutical/imaging agent
652,Iodide I-131,radiopharmaceutical,Unlikely to have food interactions - radiopharmaceutical/imaging agent
653,Iodine,pharmaceutical,
654,Ioflupane I-123,radiopharmaceutical,Unlikely to have food interactions - radiopharmaceutical/imaging agent
655,Iothalamic Acid,radiopharmaceutical,Unlikely to have food interactions - radiopharmaceutical/imaging agent
656,Ioxaglic Acid,radiopharmaceutical,Unlikely to have food interactions - radiopharmaceutical/imaging agent
657,Irbesartan,pharmaceutical,
658,Iron,pharmaceutical,
659,Iron Sucrose,pharmaceutical,
660,Isavuconazole,pharmaceutical,
661,Isavuconazonium,pharmaceutical,
662,Isocarboxazid,pharmaceutical,
663,Isoniazid,pharmaceutical,
664,Isosorbide Dinitrate,pharmaceutical,
665,Isosorbide Mononitrate,pharmaceutical,
666,Isotretinoin,pharmaceutical,
667,Isradipine,pharmaceutical,
668,Istradefylline,pharmaceutical,
669,Itraconazole,pharmaceutical,
670,Ivabradine,pharmaceutical,
671,Ivacaftor,pharmaceutical,
672,Ivermectin,pharmaceutical,
673,Ivosidenib,pharmaceutical,
674,Ixabepilone,pharmaceutical,
675,Ixazomib,pharmaceutical,
676,Ketamine,pharmaceutical,
677,Ketazolam,pharmaceutical,
678,Ketoconazole,pharmaceutical,
679,Ketoprofen,pharmaceutical,
680,Ketorolac,pharmaceutical,
681,Ketotifen,pharmaceutical,
682,L-Acetylleucine,pharmaceutical,
683,L-Glutamine,pharmaceutical,
684,Labetalol,pharmaceutical,
685,Lacosamide,pharmaceutical,
686,Lactitol,pharmaceutical,
687,Lactulose,pharmaceutical,
688,Lamivudine,pharmaceutical,
689,Lamotrigine,pharmaceutical,
690,Lansoprazole,pharmaceutical,
691,Lanthanum Carbonate,pharmaceutical,
692,Lapatinib,pharmaceutical,
693,Larotrectinib,pharmaceutical,
694,Lasmiditan,pharmaceutical,
695,Lazertinib,pharmaceutical,
696,Ledipasvir,pharmaceutical,
697,Lefamulin,pharmaceutical,
698,Leflunomide,pharmaceutical,
699,Lemborexant,pharmaceutical,
700,Lenacapavir,pharmaceutical,
701,Lenalidomide,pharmaceutical,
702,Leniolisib,pharmaceutical,
703,Lenvatinib,pharmaceutical,
704,Lepirudin,pharmaceutical,
705,Lercanidipine,pharmaceutical,
706,Lesinurad,pharmaceutical,
707,Letaxaban,pharmaceutical,
708,Letermovir,pharmaceutical,
709,Letrozole,pharmaceutical,
710,Levamisole,pharmaceutical,
711,Levamlodipine,pharmaceutical,
712,Levetiracetam,pharmaceutical,
713,Levocarnitine,pharmaceutical,
714,Levocetirizine,pharmaceutical,
715,Levodopa,pharmaceutical,
716,Levofloxacin,pharmaceutical,
717,Levoketoconazole,pharmaceutical,
718,Levomefolic Acid,pharmaceutical,
719,Levomilnacipran,pharmaceutical,
720,Levonorgestrel,pharmaceutical,
721,Levorphanol,pharmaceutical,
