TM_interactions_ID,texts_ID,start_index,end_index,food,drug
33908,20101,1454,1790,calcium,calcitriol
33911,20103,375,521,theobromine,cocoa
33914,20103,1725,1884,theobromine,cholesterol
33915,20104,1458,1616,cholesterol,Gliclazide
33916,20104,1458,1616,cholesterol,pioglitazone
33934,20111,434,624,oxygen,midazolam
33936,20113,1415,1560,creatinine,prednisone
33952,20120,987,1131,shortening,dexamethasone
33955,20122,2088,2289,cholesterol,dulaglutide
33964,20125,1764,2101,epicatechin 3-gallate,digoxin
33979,20130,1375,1538,glutamic acid,thiopental
33980,20130,1375,1538,hypoxanthine,thiopental
33981,20130,1539,1740,glutamic acid,thiopental
33982,20130,1539,1740,hypoxanthine,thiopental
33985,20130,2214,2489,glutamic acid,hypoxanthine
33987,20131,1059,1197,arginine,argininosuccinate
33999,20134,524,636,(e)-aconitic acid,pepsin
34012,20143,1250,1533,arachidonic acid,buserelin
34020,20149,1690,1821,oxygen,Dexmedetomidine
34028,20150,1066,1287,"8,11,14-eicosatrienoic acid",doconexent
34045,20157,230,373,nicotine,carbon dioxide
34050,20159,834,984,creatinine,Dronedarone
