head	relation	tail
3,4,5-Trimethoxycinnamic acid	inhibits	Solute carrier organic anion transporter family member 1B3
4',5,7-Trimethylapigenin	inhibits	ATP-dependent translocase ABCB1
Alloxan	inhibits	Solute carrier organic anion transporter family member 1B1
Alloxan	inhibits	Solute carrier organic anion transporter family member 1B3
Citicoline	inhibits	Solute carrier organic anion transporter family member 1B3
Citicoline	inhibits	Solute carrier organic anion transporter family member 1B1
D-Glutamine	inhibits	Cytochrome P450 3A4
Gibberellins	inhibits	Solute carrier organic anion transporter family member 1B1
Gibberellins	inhibits	Solute carrier organic anion transporter family member 1B3
Donepezil	inhibits	Cytochrome P450 3A4
Donepezil	inhibits	ATP-dependent translocase ABCB1
Na-Formyl-1-methyl-b-carboline	inhibits	Cytochrome P450 2D6
Na-Formyl-1-methyl-b-carboline	inhibits	Cytochrome P450 3A4
Na-Formyl-1-methyl-b-carboline	inhibits	Solute carrier organic anion transporter family member 1B3
Na-Formyl-1-methyl-b-carboline	inhibits	Solute carrier organic anion transporter family member 1B1
Norharman	inhibits	Solute carrier organic anion transporter family member 1B1
Norharman	inhibits	Solute carrier organic anion transporter family member 1B3
N-Methylnicotinamide	inhibits	Solute carrier organic anion transporter family member 1B1
N-Acetylarylamine	inhibits	Solute carrier organic anion transporter family member 1B1
N-Acetylarylamine	inhibits	Solute carrier organic anion transporter family member 1B3
AMP	inhibits	Solute carrier organic anion transporter family member 1B1
AMP	inhibits	Solute carrier organic anion transporter family member 1B3
Morin	inhibits	Cytochrome P450 2C9
Morin	inhibits	Solute carrier organic anion transporter family member 1B3
Morin	inhibits	Solute carrier organic anion transporter family member 1B1
Maltol	inhibits	Solute carrier organic anion transporter family member 1B1
Maltol	inhibits	Solute carrier organic anion transporter family member 1B3
Naringenin fructoside	inhibits	Cytochrome P450 3A4
Fisetin	inhibits	Solute carrier organic anion transporter family member 1B3
Fisetin	inhibits	Solute carrier organic anion transporter family member 1B1
beta-Thujaplicin	inhibits	Cytochrome P450 3A4
α-tocopherol	inhibits	Solute carrier organic anion transporter family member 1B1
α-tocopherol	inhibits	Solute carrier organic anion transporter family member 1B3
5alpha-Cholestanone	inhibits	Solute carrier organic anion transporter family member 1B1
5alpha-Cholestanone	inhibits	Solute carrier organic anion transporter family member 1B3
2'-Deoxyguanosine	inhibits	Solute carrier organic anion transporter family member 1B1
2'-Deoxyguanosine	inhibits	Solute carrier organic anion transporter family member 1B3
Capsaicin	inhibits	Cytochrome P450 2C19
Capsaicin	inhibits	Cytochrome P450 2D6
Capsaicin	inhibits	Cytochrome P450 3A4
Capsaicin	inhibits	Cytochrome P450 2C9
2'-Hydroxy-4',6'-dimethoxychalcone	inhibits	Solute carrier organic anion transporter family member 1B1
2'-Hydroxy-4',6'-dimethoxychalcone	inhibits	Solute carrier organic anion transporter family member 1B3
Pinostrobin chalcone	inhibits	Cytochrome P450 2C19
Pinostrobin chalcone	inhibits	Cytochrome P450 2C9
Oleanolic acid	inhibits	Solute carrier organic anion transporter family member 1B1
Oleanolic acid	inhibits	Solute carrier organic anion transporter family member 1B3
Myosmine	inhibits	Cytochrome P450 2C19
L-Canavanine	inhibits	Cytochrome P450 3A4
Melezitose	inhibits	Solute carrier organic anion transporter family member 1B1
Melezitose	inhibits	Solute carrier organic anion transporter family member 1B3
2,3-Dihydroxybenzoic acid	inhibits	Solute carrier organic anion transporter family member 1B1
2,3-Dihydroxybenzoic acid	inhibits	Solute carrier organic anion transporter family member 1B3
4,8,5'-Trimethylpsoralen	inhibits	Cytochrome P450 3A4
4,8,5'-Trimethylpsoralen	inhibits	Solute carrier organic anion transporter family member 1B1
4,8,5'-Trimethylpsoralen	inhibits	Solute carrier organic anion transporter family member 1B3
Dibutyl phthalate	inhibits	Solute carrier organic anion transporter family member 1B1
Dibutyl phthalate	inhibits	Solute carrier organic anion transporter family member 1B3
Folic acid	inhibits	Solute carrier organic anion transporter family member 1B1
Folic acid	inhibits	Solute carrier organic anion transporter family member 1B3
Coenzyme Q	inhibits	Solute carrier organic anion transporter family member 1B1
Ubiquinone 10	inhibits	Solute carrier organic anion transporter family member 1B1
Coenzyme Q	inhibits	Solute carrier organic anion transporter family member 1B3
Ubiquinone 10	inhibits	Solute carrier organic anion transporter family member 1B3
Clopidogrel	inhibits	Cytochrome P450 2B6
NAD+	inhibits	Solute carrier organic anion transporter family member 1B1
NAD+	inhibits	Solute carrier organic anion transporter family member 1B3
N-acetyl-L-glutamate	inhibits	Solute carrier organic anion transporter family member 1B3
N-acetyl-L-glutamate	inhibits	Solute carrier organic anion transporter family member 1B1
Graveoline	inhibits	Cytochrome P450 2C19
Graveoline	inhibits	Cytochrome P450 3A4
Graveoline	inhibits	Cytochrome P450 2D6
Sulfaquinoxaline	inhibits	Cytochrome P450 2C9
16-F1-phytoprostane	inhibits	Solute carrier organic anion transporter family member 1B1
16-F1-phytoprostane	inhibits	Solute carrier organic anion transporter family member 1B3
Alexomycin	inhibits	Solute carrier organic anion transporter family member 1B1
Alexomycin	inhibits	Solute carrier organic anion transporter family member 1B3
Mercenene	inhibits	Solute carrier organic anion transporter family member 1B1
Mercenene	inhibits	Solute carrier organic anion transporter family member 1B3
4-aminobutanoate	inhibits	Solute carrier organic anion transporter family member 1B3
4-aminobutanoate	inhibits	Solute carrier organic anion transporter family member 1B1
Ibuprofen	inhibits	Solute carrier organic anion transporter family member 1B1
Ibuprofen	inhibits	Solute carrier organic anion transporter family member 1B3
Azythromycin	inhibits	Cytochrome P450 3A4
Gelatin	inhibits	Cytochrome P450 3A4
Gelatin	inhibits	ATP-dependent translocase ABCB1
Gelatin	inhibits	Solute carrier organic anion transporter family member 1B1
Gelatin	inhibits	Solute carrier organic anion transporter family member 1B3
Progesterone	inhibits	Cytochrome P450 2C9
Progesterone	inhibits	Cytochrome P450 3A4
Progesterone	inhibits	Solute carrier organic anion transporter family member 1B1
Progesterone	inhibits	Solute carrier organic anion transporter family member 1B3
Hydroquinone	inhibits	Cytochrome P450 3A4
Hydroquinone	inhibits	Solute carrier organic anion transporter family member 1B3
Hydroquinone	inhibits	Solute carrier organic anion transporter family member 1B1
Imidazole	inhibits	Cytochrome P450 3A4
