lgn_id,lgn_name,hkg_name,in_mech_kge
88,Asciminib,Asciminib,True
89,Ascorbic acid,Ascorbic acid,True
90,Asenapine,Asenapine,True
91,Astemizole,Astemizole,True
92,Asunaprevir,Asunaprevir,True
93,Atazanavir,Atazanavir,True
94,Atogepant,Atogepant,True
95,Atomoxetine,Atomoxetine,True
96,Atorvastatin,Atorvastatin,True
97,Atovaquone,Atovaquone,True
98,Atropine,Atropine,True
99,Attapulgite,,False
100,Auranofin,Auranofin,True
101,Avacopan,Avacopan,True
102,Avanafil,Avanafil,True
103,Avapritinib,Avapritinib,True
104,Avatrombopag,Avatrombopag,True
105,Avelumab,Avelumab,True
106,Axitinib,Axitinib,True
107,Azatadine,Azatadine,True
108,Azathioprine,Azathioprine,True
109,Azelaic acid,Azelaic acid,True
110,Azelastine,Azelastine,True
111,Azilsartan medoxomil,Azilsartan medoxomil,True
112,Azithromycin,Azithromycin,True
113,Bacampicillin,Bacampicillin,True
114,Baclofen,Baclofen,True
115,Baloxavir marboxil,Baloxavir marboxil,True
116,Balsalazide,Balsalazide,True
117,Baricitinib,Baricitinib,True
118,Bazedoxifene,Bazedoxifene,True
119,Bedaquiline,Bedaquiline,True
120,Belumosudil,Belumosudil,True
121,Belzutifan,Belzutifan,True
122,Bemiparin,Bemiparin,True
123,Bempedoic acid,Bempedoic acid,True
124,Benazepril,Benazepril,True
125,Bendroflumethiazide,Bendroflumethiazide,True
126,Benserazide,Benserazide,True
127,Benzatropine,Benzatropine,True
128,Benzgalantamine,Benzgalantamine,True
129,Benzhydrocodone,Benzhydrocodone,True
130,Benznidazole,,False
131,Benzonatate,Benzonatate,True
132,Benzphetamine,Benzphetamine,True
133,Bepotastine,Bepotastine,True
134,Bepridil,Bepridil,True
135,Beraprost,Beraprost,True
136,Berotralstat,Berotralstat,True
137,Betahistine,Betahistine,True
138,Betaine,Betaine,True
139,Betaxolol,Betaxolol,True
140,Bethanechol,Bethanechol,True
141,Betrixaban,Betrixaban,True
142,Bexagliflozin,Bexagliflozin,True
143,Bexarotene,Bexarotene,True
144,Bezafibrate,Bezafibrate,True
145,Bicalutamide,Bicalutamide,True
146,Bictegravir,Bictegravir,True
147,Bilastine,Bilastine,True
148,Binimetinib,Binimetinib,True
149,Biotin,Biotin,True
150,Biperiden,Biperiden,True
151,Bisacodyl,Bisacodyl,True
152,Bismuth subcitrate potassium,Bismuth subcitrate potassium,True
153,Bisoprolol,Bisoprolol,True
154,Bivalirudin,Bivalirudin,True
155,Boceprevir,Boceprevir,True
156,Bortezomib,Bortezomib,True
157,Bosentan,Bosentan,True
158,Bosutinib,Bosutinib,True
159,Brentuximab vedotin,Brentuximab vedotin,True
160,Brexanolone,Brexanolone,True
161,Brexpiprazole,Brexpiprazole,True
162,Brigatinib,Brigatinib,True
163,Brimonidine,Brimonidine,True
164,Brincidofovir,Brincidofovir,True
165,Brivaracetam,Brivaracetam,True
166,Bromazepam,Bromazepam,True
167,Bromocriptine,Bromocriptine,True
168,Bromotheophylline,Bromotheophylline,True
169,Brompheniramine,Brompheniramine,True
170,Budesonide,Budesonide,True
171,Bumetanide,Bumetanide,True
172,Buprenorphine,Buprenorphine,True
173,Bupropion,Bupropion,True
174,Buspirone,Buspirone,True
175,Busulfan,Busulfan,True
176,Butabarbital,Butabarbital,True
177,Butalbital,Butalbital,True
178,Butorphanol,Butorphanol,True
179,Cabazitaxel,Cabazitaxel,True
180,Cabergoline,Cabergoline,True
181,Cabotegravir,Cabotegravir,True
182,Cabozantinib,Cabozantinib,True
183,Calcifediol,Calcifediol,True
184,Calcium acetate,,False
185,Calcium carbonate,,False
186,Calcium citrate,Calcium citrate,True
187,Calcium gluconate,,False
188,Calcium polycarbophil,,False
189,Camostat,Camostat,True
190,Canagliflozin,Canagliflozin,True
