lgn_food_id,food_name,has_fp,rep_compound,rep_smiles,strategy
1196,Ethylene,True,,,original
1197,6-Hydroxydopamine,True,,,original
1198,5-Isopropyl-2-Methylphenol,True,,,original
1199,2-Isopropyl-5-Methylphenol,True,,,original
1200,Argininosuccinic Acid,True,,,original
1201,Jasmonic Acid,True,,,original
1202,Tryptamine,True,,,original
1203,Chinese Tannin,False,,,no_representative_found
1204,(±)-Phenylalanine,True,,,original
1205,Monocrotaline,True,,,original
1206,Scoparone,True,,,original
1207,Kynurenic Acid,True,,,original
1208,Valencene,True,,,original
1209,Eupatilin,True,,,original
1210,Potassium Chloride,True,,,original
1211,Iduronic Acid,True,,,original
1212,Phosphatidylethanolamine,True,,,original
1213,"7-Methyl-3-Methylene-1,6-Octadiene",True,,,original
1214,D-Camphor,True,,,original
1215,Trehalose,True,,,original
1216,Cellobiose,True,,,original
1217,Cyanide,True,,,original
1218,Safrole,True,,,original
1219,Paraquat,True,,,original
1220,Tungsten,True,,,original
1221,Violaxanthin,True,,,original
1222,Inositol Phosphate,True,,,original
1223,Chlorophyll,True,,,original
1224,Ochratoxin A,True,,,original
1225,2-Methylbutanal,True,,,original
1226,Heptanal,True,,,original
1227,Sesamol,True,,,original
1228,Methyl Salicylate,True,,,original
1229,Rotenone,True,,,original
1230,3-Isothiocyanato-1-Propene,True,,,original
1231,Glabridin,True,,,original
1232,Methyl Jasmonate,True,,,original
1233,Linalyl Acetate,True,,,original
1234,Prostaglandin A1,True,,,original
1235,Cholate,True,,,original
1236,Citalopram,True,,,original
1237,Clofenotane,True,,,original
1238,Endrin,True,,,original
1239,Castasterone,True,,,original
1240,Lithospermic Acid,True,,,original
1241,Octopamine,True,,,original
1242,Piperidine,True,,,original
1243,Betulin,True,,,original
1244,Soyasaponin I,True,,,original
1245,Abscisic Acid,True,,,original
1246,11-Dehydrocorticosterone,True,,,original
1247,1H-Indole-3-Acetonitrile,True,,,original
1248,Phosphoric Acid,True,,,original
1249,Guanosine,True,,,original
1250,Amp,True,,,original
1251,Isoborneol,True,,,original
1252,Spermine,True,,,original
1253,Pyridine,True,,,original
1254,Acetyl-Coa,True,,,original
1255,Chlorate,True,,,original
1256,(R)-Oxypeucedanin,True,,,original
1257,Phosphoenolpyruvate,True,,,original
1258,Guanidine,True,,,original
1259,Iodate,True,,,original
1260,Emodin,True,,,original
1261,Fad,True,,,original
1262,Carboxyatractyloside,True,,,original
1263,"2,3-Butanedione",True,,,original
1264,Methylpyrazine,True,,,original
1265,Choline Chloride,True,,,original
1266,Isopimpinellin,True,,,original
1267,Tellurium,True,,,original
1268,Carbon Disulfide,True,,,original
1269,Tetrahydrocurcumin,True,,,original
1270,Xanthorrhizol,True,,,original
1271,Dityrosine,True,,,original
1272,Taurocholic Acid,True,,,original
1273,N6-Methyladenosine,True,,,original
1274,Geranylgeraniol,True,,,original
1275,Pyridoxamine,True,,,original
1276,Ligustilide,True,,,original
1277,Fisetin,True,,,original
1278,Acetoin,True,,,original
1279,2-Furanmethanol,True,,,original
1280,3-Hydroxyflavone,True,,,original
1281,3-Methoxytyramine,True,,,original
1282,Sodium Nitrite,True,,,original
1283,Urolithin A,True,,,original
1284,Scopoletin,True,,,original
1285,Utp,True,,,original
1286,Nad,True,,,original
1287,"Inositol 1,4,5-Trisphosphate",True,,,original
1288,(S)-[6]-Gingerol,True,,,original
1289,Racemethionine,True,,,original
1290,3-Hydroxyanthranilic Acid,True,,,original
1291,Phosphatidylglycerol,True,,,original
1292,Cinnamyl Alcohol,True,,,original
1293,Methoxyl,True,,,original
1294,Cucurbitacin E,True,,,original
1295,N-Methyltryptamine,True,,,original
1296,Sodium Hypochlorite,True,,,original
1297,Isopimaric Acid,True,,,original
1298,Maltotriose,True,,,original
1299,Chitinase,True,,,original
1300,Asiatic Acid,True,,,original
1301,Protopine,True,,,original
1302,Dehydroascorbic Acid,True,,,original
1303,Biochanin A,True,,,original
1304,2-Aminoacrylate,True,,,original
1305,Kaurenoic Acid,True,,,original
1306,Nadh,True,,,original
1307,Morin,True,,,original
1308,Achillin,True,,,original
1309,Capsanthin,True,,,original
1310,Anatabine,True,,,original
1311,Phlorizin,True,,,original
1312,Palmitoyl-Coa,True,,,original
1313,Triethylamine,True,,,original
1314,Acetamide,True,,,original
1315,Chlorpheniramine,True,,,original
1316,Pregnenolone Sulfate,True,,,original
1317,Methylglyoxal,True,,,original
1318,Isoscopoletin,True,,,original
1319,Cyclohexane,True,,,original
1320,Geraniol,True,,,original
1321,Aesculin,True,,,original
1322,Betaine Aldehyde,True,,,original
1323,H2O,True,,,original
1324,"1,2,3-Benzenetriol",True,,,original
1325,Ursodeoxycholic Acid,True,,,original
1326,Mercury,True,,,original
1327,Rhein,True,,,original
1328,Oripavine,True,,,original
1329,Farnesol,True,,,original
1330,Beta-Elemene,True,,,original
1331,Cinnamic Acid,True,,,original
1332,L-5-Oxo-2-Pyrrolidinecarboxylic Acid,True,,,original
1333,Sinigrin,True,,,original
1334,Astragalin,True,,,original
1335,Fucoxanthin,True,,,original
1336,Oleanolic Acid,True,,,original
1337,Fucosterol,True,,,original
1338,Isoferulic Acid,True,,,original
1339,Betanin,True,,,original
1340,Cafestol,True,,,original
1341,Kahweol,True,,,original
1342,Maltoheptaose,True,,,original
1343,Vitexin,True,,,original
1344,Isovitexin,True,,,original
1345,Orientin,True,,,original
1346,Anandamide,True,,,original
1347,Threonic Acid,True,,,original
1348,Beta-Solamarine,True,,,original
1349,Isoxanthopterin,True,,,original
1350,Lead,True,,,original
1351,Paeonol,True,,,original
1352,Naphthalen-1-Ol,True,,,original
1353,Iron Oxide,True,,,original
1354,3-Hexen-1-Ol,True,,,original
1355,Carveol,True,,,original
1356,Lithocholic Acid,True,,,original
1357,Patchouli Alcohol,True,,,original
1358,N-Acetyl-L-Cysteine,True,,,original
1359,N-Butanol,True,,,original
1360,Maltopentaose,True,,,original
1361,Sulfite,True,,,original
1362,Myosmine,True,,,original
