head	relation	tail
Dextrothyroxine	activates	THRA
Trihexyphenidyl	activates	ADRB3
Estradiol cypionate	activates	ESR1
Tretinoin	activates	RXRA
Vibegron	activates	ADRB3
Cannabidiol	activates	HTR1A
Progesterone	activates	PGR
Protein C	activates	F5
Urokinase	activates	PLG
Nafarelin	activates	GNRHR2
Bezafibrate	activates	RXRA
Ibuprofen	activates	PPARG
Dextromethorphan	activates	OPRK1
Methyldopa	activates	ADRA2A
Tirzepatide	activates	GIPR
Cannabidiol	activates	TRPA1
Nylidrin	activates	CACNA1I
Quinagolide	activates	DRD2
Dronabinol	activates	CNR1
Exenatide	activates	GLP1R
Ramipril	activates	BDKRB1
Fludiazepam	activates	TSPO
Estramustine	activates	ESR1
Carbamazepine	activates	NR1I2
Dextromethorphan	activates	OPRM1
Zolmitriptan	activates	HTR1B
Amphetamine	activates	CARTPT
Amphetamine	activates	SLC6A2
Ethinylestradiol	activates	NR1I2
Bezafibrate	activates	RXRB
Bexarotene	activates	RXRA
Aripiprazole	activates	HTR2C
Calcium citrate	activates	CADPS
Amediplase	activates	PLAU
Codeine	activates	OPRM1
Insulin degludec	activates	IGF1R
Vinorelbine	activates	MAPK1
Alitretinoin	activates	RARB
Clonidine	activates	ADRA1B
Trazodone	activates	Htr2c
Calcium citrate	activates	CALM2
Ascorbic acid	activates	ALKBH3
Dihydroergotamine	activates	HTR2A
Beraprost	activates	PTGIR
Secobarbital	binds	GABRA2
Alfuzosin	binds	ORM1
Ferric cation	binds	ITGB3
Dronedarone	binds	KCNA5
Potassium chloride	binds	SLC12A1
Iron	binds	NEIL1
Codeine	binds	OPRM1
Zinc acetate	binds	KRT6A
Zinc	binds	A2M
Zinc acetate	binds	P4HB
Temazepam	binds	GABRA1
Enzalutamide	binds	ALB
Desmoteplase	binds	PLG
Flavin adenine dinucleotide	binds	pchF
Infigratinib	binds	APOA1
Clopidogrel	binds	ALB
Avanafil	binds	ORM1
Amoxapine	binds	GABRA1
Quazepam	binds	GABRA1
Elafibranor	binds	ALB
Morphine	binds	ALB
Doxylamine	binds	ALB
Nortriptyline	binds	ORM1
Naproxen	binds	SLC22A8
Ferrous ascorbate	binds	CP
Zinc	binds	BDKRB1
Thiopental	binds	GABRA4
Atomoxetine	binds	FCGR1A
Phenprocoumon	binds	ORM1
Fenofibrate	binds	ALB
Ferrous fumarate	binds	NEIL1
Cholic Acid	binds	ADH1C
Flavin adenine dinucleotide	binds	lpdV
Quetiapine	binds	CHRM2
Trihexyphenidyl	binds	ALB
Primidone	binds	GABRA3
Cysteamine	binds	ALB
Flavin adenine dinucleotide	binds	choB
Aminocaproic acid	binds	LPA
Theophylline	binds	CPNE1
Estradiol acetate	binds	ESRRG
Copper oxodotreotide Cu-64	binds	SSTR2
Zinc acetate	binds	F13B
Drotrecogin alfa	binds	SERPINB6
Cyanocobalamin	binds	MTHFR
Abciximab	binds	FCGR2A
Nitrazepam	binds	GABRA1
Quetiapine	binds	HTR1D
Omega-3-carboxylic acids	binds	HADH
Chlorpromazine	binds	ALB
Flavin adenine dinucleotide	binds	fprA
Zidovudine	binds	SLC22A7
Fludiazepam	binds	GABRA3
Mirdametinib	binds	MAP2K2
Cobimetinib	binds	CYP3A5
Indapamide	binds	ORM1
Zinc sulfate, unspecified form	binds	HDAC4
Zinc	binds	PDIA3
Mefenamic acid	binds	ALB
Chromium	binds	TF
Biotin	binds	MCCC1
Glipizide	binds	KCNJ10
Dicloxacillin	binds	ALB
Mitotane	binds	SERPINA7
Zinc sulfate, unspecified form	binds	SOD1
