head,relation,tail,weight,source,head_type,tail_type
Genistein,inhibits,Cytochrome P450 2C9,1.0,chembl36,COMPOUND,TARGET
Genistein,inhibits,Solute carrier organic anion transporter family member 1B1,1.0,chembl36,COMPOUND,TARGET
Genistein,inhibits,Solute carrier organic anion transporter family member 1B3,1.0,chembl36,COMPOUND,TARGET
Chalcone,inhibits,Cytochrome P450 3A4,1.0,chembl36,COMPOUND,TARGET
Chalcone,inhibits,Cytochrome P450 1B1,1.0,chembl36,COMPOUND,TARGET
Rotenone,inhibits,Cytochrome P450 2C19,1.0,chembl36,COMPOUND,TARGET
Melatonin,inhibits,Cytochrome P450 2D6,1.0,chembl36,COMPOUND,TARGET
Melatonin,inhibits,Solute carrier organic anion transporter family member 1B3,1.0,chembl36,COMPOUND,TARGET
Melatonin,inhibits,Solute carrier organic anion transporter family member 1B1,1.0,chembl36,COMPOUND,TARGET
Daidzein,inhibits,Cytochrome P450 2C19,1.0,chembl36,COMPOUND,TARGET
Daidzein,inhibits,Cytochrome P450 2C9,1.0,chembl36,COMPOUND,TARGET
Daidzein,inhibits,Solute carrier organic anion transporter family member 1B3,1.0,chembl36,COMPOUND,TARGET
Daidzein,inhibits,Solute carrier organic anion transporter family member 1B1,1.0,chembl36,COMPOUND,TARGET
Enkephalin L,inhibits,Solute carrier organic anion transporter family member 1B1,1.0,chembl36,COMPOUND,TARGET
Enkephalin L,inhibits,Solute carrier organic anion transporter family member 1B3,1.0,chembl36,COMPOUND,TARGET
Baicalein,inhibits,Cytochrome P450 2C19,1.0,chembl36,COMPOUND,TARGET
Baicalein,inhibits,Cytochrome P450 2C9,1.0,chembl36,COMPOUND,TARGET
Baicalein,inhibits,Cytochrome P450 1A1,1.0,chembl36,COMPOUND,TARGET
Baicalein,inhibits,Cytochrome P450 1B1,1.0,chembl36,COMPOUND,TARGET
Baicalein,inhibits,Solute carrier organic anion transporter family member 1B3,1.0,chembl36,COMPOUND,TARGET
Baicalein,inhibits,Solute carrier organic anion transporter family member 1B1,1.0,chembl36,COMPOUND,TARGET
Baicalein,inhibits,Cytochrome P450 3A4,1.0,chembl36,COMPOUND,TARGET
Quercetin,inhibits,Cytochrome P450 1A2,1.0,chembl36,COMPOUND,TARGET
