head,relation,tail,weight,source,head_type,tail_type
Amphetamine,activates,ADRB1,1.0,drugbank,DRUG,TARGET
Amphetamine,binds,DRD2,1.0,drugbank,DRUG,TARGET
Amphetamine,inhibits,MAOB,1.0,drugbank,DRUG,TARGET
Amphetamine,binds,SLC6A4,1.0,drugbank,DRUG,TARGET
Amphetamine,substrate_of,SLC22A3,1.0,drugbank,DRUG,TARGET
Amphetamine,substrate_of,SLC22A5,1.0,drugbank,DRUG,TARGET
Nicotine,substrate_of,CYP1A1,1.0,drugbank,DRUG,TARGET
Nicotine,induces,CYP1A1,1.0,drugbank,DRUG,TARGET
Nicotine,substrate_of,CYP1A2,1.0,drugbank,DRUG,TARGET
Nicotine,induces,CYP1A2,1.0,drugbank,DRUG,TARGET
Nicotine,substrate_of,CYP2C19,1.0,drugbank,DRUG,TARGET
Nicotine,substrate_of,CYP2C8,1.0,drugbank,DRUG,TARGET
Nicotine,substrate_of,CYP2C9,1.0,drugbank,DRUG,TARGET
Nicotine,substrate_of,CYP2D6,1.0,drugbank,DRUG,TARGET
Nicotine,substrate_of,CYP3A4,1.0,drugbank,DRUG,TARGET
Nicotine,inhibits,MAOA,1.0,drugbank,DRUG,TARGET
Nicotine,inhibits,MAOB,1.0,drugbank,DRUG,TARGET
Nicotine,substrate_of,CYP2A6,1.0,drugbank,DRUG,TARGET
Nicotine,inhibits,CYP2A6,1.0,drugbank,DRUG,TARGET
Nicotine,substrate_of,CYP2E1,1.0,drugbank,DRUG,TARGET
Nicotine,inhibits,CYP2E1,1.0,drugbank,DRUG,TARGET
Nicotine,induces,CYP2E1,1.0,drugbank,DRUG,TARGET
Nicotine,substrate_of,CYP2A13,1.0,drugbank,DRUG,TARGET
Nicotine,substrate_of,CYP2B6,1.0,drugbank,DRUG,TARGET
Nicotine,activates,CHRNA4,1.0,drugbank,DRUG,TARGET
Nicotine,activates,CHRNA7,1.0,drugbank,DRUG,TARGET
Nicotine,activates,CHRNB2,1.0,drugbank,DRUG,TARGET
Nicotine,activates,CHRNA2,1.0,drugbank,DRUG,TARGET
Nicotine,activates,CHRNA3,1.0,drugbank,DRUG,TARGET
Nicotine,activates,CHRNA5,1.0,drugbank,DRUG,TARGET
Nicotine,activates,CHRNA6,1.0,drugbank,DRUG,TARGET
Nicotine,activates,CHRNA9,1.0,drugbank,DRUG,TARGET
Nicotine,activates,CHRNA10,1.0,drugbank,DRUG,TARGET
Nicotine,activates,CHRNB3,1.0,drugbank,DRUG,TARGET
Nicotine,activates,CHRNB4,1.0,drugbank,DRUG,TARGET
Nicotine,inhibits,CYP19A1,1.0,drugbank,DRUG,TARGET
Nicotine,inhibits,CHAT,1.0,drugbank,DRUG,TARGET
Nicotine,inhibits,SLC22A2,1.0,drugbank,DRUG,TARGET
Nicotine,inhibits,SLC22A1,1.0,drugbank,DRUG,TARGET
Nicotine,inhibits,SLC22A3,1.0,drugbank,DRUG,TARGET
Nicotine,inhibits,SLC22A5,1.0,drugbank,DRUG,TARGET
Nicotine,inhibits,SLC22A4,1.0,drugbank,DRUG,TARGET
Lorazepam,substrate_of,UGT2B15,1.0,drugbank,DRUG,TARGET
Lorazepam,modulates,GABRA1,1.0,drugbank,DRUG,TARGET
Lorazepam,binds,GABRA1,1.0,drugbank,DRUG,TARGET
Lorazepam,modulates,TSPO,1.0,drugbank,DRUG,TARGET
Bortezomib,substrate_of,CYP3A4,1.0,drugbank,DRUG,TARGET
Bortezomib,substrate_of,CYP2C19,1.0,drugbank,DRUG,TARGET
Bortezomib,inhibits,CYP2C19,1.0,drugbank,DRUG,TARGET
Bortezomib,substrate_of,CYP2D6,1.0,drugbank,DRUG,TARGET
Bortezomib,substrate_of,CYP1A2,1.0,drugbank,DRUG,TARGET
Bortezomib,inhibits,CYP1A2,1.0,drugbank,DRUG,TARGET
